id,brand,gym_name,street_address,postal_code,city,region,country,homepage,instagram,latitude,longitude,bouldering,lead,top_rope,moonboard,kilterboard,spraywall,continent,grading_type,last_verified,status,status_date,successor_id
dk-beta-vanlose,Beta Boulders,Beta Boulders Vanløse,Kastanie Allé 8,2720,Vanløse,Hovedstaden,Denmark,https://betaboulders.com,@betaboulders,55.6834780,12.4910050,true,false,false,,,,Europe,color,2026-06-13,,,
de-boulderwelt-muenchen-ost,Boulderwelt,Boulderwelt München Ost,Hanne-Hiob-Straße 4,81671,München,Bayern,Germany,https://www.boulderwelt-muenchen-ost.de,@boulderweltmuenchenost,48.1256328,11.6106607,true,false,false,,,,Europe,,2026-06-13,,,
de-boulderwelt-muenchen-west,Boulderwelt,Boulderwelt München West,Bertha-Kipfmüller-Straße 19,81249,München,Bayern,Germany,https://www.boulderwelt-muenchen-west.de,@boulderweltmuenchenwest,48.1365179,11.4204128,true,false,false,,,,Europe,,2026-06-13,,,
de-boulderwelt-muenchen-sued,Boulderwelt,Boulderwelt München Süd,Eugen-Sänger-Ring 4,85649,Brunnthal,Bayern,Germany,https://www.boulderwelt-muenchen-sued.de,@boulderweltmuenchensued,48.0405322,11.6638760,true,false,false,,,,Europe,,2026-06-14,,,
de-boulderwelt-frankfurt,Boulderwelt,Boulderwelt Frankfurt,August-Schanz-Straße 50,60433,Frankfurt am Main,Hessen,Germany,https://www.boulderwelt-frankfurt.de,@boulderweltfrankfurt,50.1641543,8.6847962,true,false,false,,,,Europe,,2026-06-13,,,
de-boulderwelt-dortmund,Boulderwelt,Boulderwelt Dortmund,Brennaborstraße 10,44149,Dortmund,Nordrhein-Westfalen,Germany,https://www.boulderwelt-dortmund.de,@boulderweltdortmund,51.4946156,7.3774043,true,false,false,,,,Europe,,2026-06-13,,,
de-boulderwelt-regensburg,Boulderwelt,Boulderwelt Regensburg,Im Gewerbepark A46,93059,Regensburg,Bayern,Germany,https://www.boulderwelt-regensburg.de,@boulderweltregensburg,49.0321913,12.1286450,true,false,false,,,,Europe,,2026-06-14,,,
de-boulderwelt-karlsruhe,Boulderwelt,Boulderwelt Karlsruhe,Karlstraße 14,76133,Karlsruhe,Baden-Württemberg,Germany,https://www.boulderwelt-karlsruhe.de,@boulderweltkarlsruhe,49.0104397,8.3947847,true,false,false,,,,Europe,,2026-06-13,,,
de-boulderwelt-hamburg,Boulderwelt,Boulderwelt Hamburg,Beim Strohhause 17,20097,Hamburg,Hamburg,Germany,https://www.boulderwelt-hamburg.de,@boulderwelthamburg,53.5540145,10.0208859,true,false,false,,,,Europe,,2026-06-13,,,
de-stuntwerk-koeln-zollstock,Stuntwerk,Stuntwerk Köln Zollstock,Weyerstraßerweg 10A,50969,Köln,Nordrhein-Westfalen,Germany,https://stuntwerk.de,@stuntwerk_koeln_zollstock,50.9186197,6.9393557,true,false,false,,,,Europe,,2026-06-13,,,
de-stuntwerk-koeln-muelheim,Stuntwerk,Stuntwerk Köln Mülheim,Schanzenstraße 6-20,51063,Köln,Nordrhein-Westfalen,Germany,https://stuntwerk.de,@stuntwerk_koeln_muelheim,50.9657075,7.0130676,true,false,false,,,,Europe,,2026-06-13,,,
de-stuntwerk-senden,Stuntwerk,Stuntwerk Senden,Berliner Straße 25,89250,Senden,Nordrhein-Westfalen,Germany,https://stuntwerk.de,@stuntwerk_de,48.3334985,10.0372184,true,false,false,,,,Europe,,2026-06-13,,,
de-stuntwerk-rosenheim,Stuntwerk,Stuntwerk Rosenheim,Grubholzer Straße 12,83026,Rosenheim,Bayern,Germany,https://stuntwerk.de,@stuntwerk_de,47.8501383,12.0895636,true,false,false,,,,Europe,,2026-06-13,,,
de-stuntwerk-krefeld,Stuntwerk,Stuntwerk Krefeld,Weyerhofstraße 50,47803,Krefeld,Nordrhein-Westfalen,Germany,https://stuntwerk.de,@stuntwerk_de,51.3448781,6.5437129,true,false,false,,,,Europe,,2026-06-13,,,
de-einstein-ulm,einstein,einstein Boulderhalle Ulm,Blaubeurer Straße 100,89077,Ulm,Baden-Württemberg,Germany,https://einstein-boulder.com,,48.4005090,9.9629728,true,false,false,,,,Europe,,2026-06-13,,,
de-einstein-muenchen,einstein,einstein Boulderhalle München,Landsberger Straße 185,80687,München,Bayern,Germany,https://muenchen.einstein-boulder.com,,48.1400094,11.5226862,true,false,false,,,,Europe,,2026-06-13,,,
de-einstein-duisburg,einstein,einstein Boulderhalle Duisburg,Essenberger Straße 85,47059,Duisburg,Nordrhein-Westfalen,Germany,https://einstein-boulder.com,,51.4317512,6.7431745,true,false,false,,,,Europe,,2026-06-13,,,
de-einstein-recklinghausen,einstein,einstein Boulderhalle Recklinghausen,Walkmühlenweg 55,45661,Recklinghausen,Nordrhein-Westfalen,Germany,https://einstein-boulder.com,,51.5815232,7.2074467,true,false,false,,,,Europe,,2026-06-13,,,
de-einstein-duesseldorf,einstein,einstein Boulderhalle Düsseldorf,Lierenfelder Straße 49,40231,Düsseldorf,Nordrhein-Westfalen,Germany,https://duesseldorf.einstein-boulder.com,,51.2127675,6.8214413,true,false,false,,,,Europe,,2026-06-13,,,
de-einstein-koeln,einstein,einstein Boulderhalle Köln,Widdersdorfer Straße 205,50825,Köln,Nordrhein-Westfalen,Germany,https://einstein-boulder.com,,50.9453805,6.9025242,true,false,false,,,,Europe,,2026-06-13,,,
de-kletterfabrik-koeln,Kletterfabrik,Kletterfabrik Köln,Oskar-Jäger-Straße,50825,Köln,Nordrhein-Westfalen,Germany,https://www.kletterfabrik.koeln,,50.9471305,6.9069543,true,true,true,,,,Europe,,2026-06-13,,,
at-boulderbar-wien-wienerberg,boulderbar,boulderbar Wien Wienerberg,Gutheil-Schoder-Gasse 8,1100,Wien,Wien,Austria,https://boulderbar.net,@boulderbar,48.1612454,16.3356270,true,false,false,,,,Europe,,2026-06-13,,,
at-boulderbar-wien-hannovergasse,boulderbar,boulderbar Wien Hannovergasse,Hannovergasse 21,1200,Wien,Wien,Austria,https://boulderbar.net,@boulderbar,48.2314920,16.3679058,true,false,false,,,,Europe,,2026-06-13,,,
at-boulderbar-salzburg,boulderbar,boulderbar Salzburg,Richard-Kürth-Straße 9,5020,Salzburg,Salzburg,Austria,https://boulderbar.net/salzburg,@boulderbarsalzburg,47.8109426,13.0609246,true,false,false,,,,Europe,,2026-06-13,,,
at-boulderbar-linz,boulderbar,boulderbar Linz,Dr. Hermann-Thurner-Straße 1,4060,Leonding,Oberösterreich,Austria,https://boulderbar.net,@boulderbar,48.2471984,14.2326435,true,false,false,,,,Europe,,2026-06-13,,,
at-boulderbar-st-poelten,boulderbar,boulderbar St. Pölten,Herzogenburger Straße 69,3100,St. Pölten,Niederösterreich,Austria,https://boulderbar.net,@boulderbar,48.2164717,15.6364314,true,false,false,,,,Europe,,2026-06-13,,,
fr-arkose-nation,Arkose,Arkose Nation,Rue des Grands Champs,75020,Paris,Île-de-France,France,https://arkose.com,@arkose.climbing,48.8513911,2.4022570,true,false,false,,,,Europe,,2026-06-13,,,
fr-arkose-didot,Arkose,Arkose Didot,Boulevard Brune 101,75014,Paris,Île-de-France,France,https://arkose.com,@arkose.climbing,48.8261766,2.3150353,true,false,false,,,,Europe,,2026-06-13,,,
fr-arkose-massy,Arkose,Arkose Massy,Rue Galvani,91300,Massy,Île-de-France,France,https://arkose.com,@arkose.climbing,48.7229675,2.2698716,true,false,false,,,,Europe,,2026-06-13,,,
